claim_id,customer_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent,gender,DateOfBirth,State,Contact,Segment,Age,AgeCategory,Region
54004764,21868593,Driver error,2017-11-27,Auto,No,Material only,2980.0,1,No,Female,1979-01-12,Vermont,789-916-8172,Platinum,45,Adult,Northeast
33985796,75740424,Crime,2018-10-03,Home,Unknown,Material only,2980.0,3,No,Female,1970-01-13,Maine,265-543-1264,Silver,54,Adult,Northeast
53522022,30308357,Other driver error,2018-02-02,Auto,No,Material only,3369.5,1,Yes,Female,1984-03-11,Tennessee,798-631-4758,Silver,40,Adult,South
13015401,47830476,Natural causes,2018-06-17,Auto,No,Material only,1680.0,1,No,Female,1986-05-01,Massachusetts,413-187-7945,Silver,38,Adult,Northeast
22890252,19269962,Crime,2018-01-13,Auto,No,Material only,2680.0,1,No,Male,1977-05-13,Nevada,956-871-8691,Gold,47,Adult,West
24050443,21831191,Other driver error,2017-10-04,Auto,No,Injury only,38306.5,3,Yes,Male,1977-05-17,New Hampshire,419-712-8513,Gold,47,Adult,Northeast
12878692,18401412,Driver error,2018-01-13,Auto,No,Material only,1730.0,4,No,Male,1999-03-02,Arkansas,752-398-2914,Gold,25,Youth,South
27026412,73486606,Natural causes,2018-04-10,Auto,No,Material only,1160.0,3,No,Male,1999-10-25,Alaska,256-968-9172,Silver,24,Youth,West
43908336,32813689,Crime,2018-02-15,Auto,Unknown,Material only,2620.0,1,No,Male,1993-10-12,Idaho,142-324-7481,Silver,30,Adult,West
63246959,33507197,Crime,2017-07-22,Auto,No,Material only,2748.5,2,Yes,Female,1966-09-09,Rhode Island,165-519-4583,Gold,57,Adult,Northeast
74165873,99103685,Other driver error,2018-01-13,Home,No,Material only,1495.0,1,Yes,Female,1985-12-30,Kentucky,764-439-9856,Gold,38,Adult,South
28564401,51583214,Other driver error,2017-12-10,Auto,Unknown,Material and injury,16690.0,1,No,Male,1999-10-31,New Hampshire,743-486-5264,Platinum,24,Youth,Northeast
72738047,35875366,Other driver error,2018-04-24,Auto,Unknown,Material only,1870.0,1,No,Male,1990-09-16,Maryland,954-964-1746,Platinum,33,Adult,South
53780662,21240703,Other driver error,2018-09-19,Auto,Unknown,Material only,1050.0,1,No,Male,1963-07-22,Maryland,473-561-2675,Silver,61,Adult,South
67257404,18288638,Other driver error,2018-04-24,Auto,Yes,Injury only,32560.0,1,No,Female,1969-01-14,Michigan,314-135-1359,Platinum,55,Adult,Midwest
35489765,63240241,Natural causes,2018-10-03,Auto,No,Material only,2870.0,1,No,Male,1977-07-26,Maine,843-379-4796,Silver,47,Adult,Northeast
12548447,1407979,Driver error,2018-06-03,Auto,Unknown,Material only,3208.5,1,Yes,Male,1987-03-15,Rhode Island,165-217-1648,Silver,37,Adult,Northeast
7809917,63916778,Other causes,2017-07-22,Auto,No,Injury only,17800.0,1,No,Male,1966-09-07,Illinois,146-157-4572,Platinum,57,Adult,Midwest
29205389,17004138,Natural causes,2017-06-25,Auto,No,Injury only,31380.0,1,No,Female,1965-08-13,Washington,436-354-4682,Silver,58,Adult,West
19051665,9667764,Other causes,2017-12-17,Auto,Yes,Injury only,36190.0,1,No,Female,1979-10-10,South Carolina,643-978-8251,Platinum,44,Adult,South
32630720,75584003,Crime,2017-02-03,Auto,No,Material only,12467.68137254902,1,No,Female,1967-04-22,Oklahoma,723-418-3248,Silver,57,Adult,South
17910612,90012444,Other driver error,2017-08-24,Auto,No,Material only,1010.0,1,No,Male,1974-08-08,Kansas,749-961-7265,Platinum,49,Adult,Midwest
46956597,10665308,Natural causes,2018-07-20,Auto,No,Material only,12467.68137254902,1,No,Male,1999-06-21,Connecticut,324-971-8395,Silver,25,Youth,Northeast
68848682,35597589,Other driver error,2017-05-29,Auto,Yes,Injury only,16830.0,1,No,Female,1980-02-17,Indiana,826-731-3964,Gold,44,Adult,Midwest
8782253,1924109,Driver error,2017-09-14,Auto,No,Material only,1690.0,1,No,Male,1981-12-13,Utah,431-179-6475,Gold,42,Adult,West
41262918,12871942,Natural causes,2017-04-25,Auto,No,Material only,2830.0,1,No,Female,1995-04-01,Indiana,591-436-5176,Platinum,29,Adult,Midwest
71088680,32155446,Driver error,2017-12-24,Auto,No,Material and injury,32640.0,4,No,Male,1985-05-07,Arizona,847-936-7645,Gold,39,Adult,West
