CUST_ID,gender,DateOfBirth,State,Contact,Segment
21868593,Female,1/12/1979,VT,789-916-8172,Platinum
75740424,Female,1/13/1970,ME,265-543-1264,Silver
30308357,Female,3/11/1984,TN,798-631-4758,Silver
47830476,Female,5/1/1986,MA,413-187-7945,Silver
19269962,Male,5/13/1977,NV,956-871-8691,Gold
21831191,Male,5/17/1977,NH,419-712-8513,Gold
18401412,Male,3/2/1999,AR,752-398-2914,Gold
73486606,Male,10/25/1999,AK,256-968-9172,Silver
32813689,Male,10/12/1993,ID,142-324-7481,Silver
33507197,Female,9/9/1966,RI,165-519-4583,Gold
99103685,Female,12/30/1985,KY,764-439-9856,Gold
51583214,Male,10/31/1999,NH,743-486-5264,Platinum
35875366,Male,9/16/1990,MD,954-964-1746,Platinum
21240703,Male,7/22/1963,MD,473-561-2675,Silver
18288638,Female,1/14/1969,MI,314-135-1359,Platinum
63240241,Male,7/26/1977,ME,843-379-4796,Silver
1407979,Male,3/15/1987,RI,165-217-1648,Silver
63916778,Male,9/7/1966,IL,146-157-4572,Platinum
17004138,Female,8/13/1965,WA,436-354-4682,Silver
9667764,Female,10/10/1979,SC,643-978-8251,Platinum
75584003,Female,4/22/1967,OK,723-418-3248,Silver
90012444,Male,8/8/1974,KS,749-961-7265,Platinum
10665308,Male,6/21/1999,CT,324-971-8395,Silver
35597589,Female,2/17/1980,IN,826-731-3964,Gold
1924109,Male,12/13/1981,UT,431-179-6475,Gold
12871942,Female,4/1/1995,IN,591-436-5176,Platinum
32155446,Male,5/7/1985,AZ,847-936-7645,Gold
35876516,Male,10/29/1996,IL,496-426-6748,Silver
13265356,Female,7/27/1962,IA,462-587-7532,Silver
80379865,Male,2/27/1969,NM,427-513-8479,Gold
64899302,Male,7/17/1994,WI,784-623-7631,Platinum
11278282,Male,4/12/1968,RI,148-178-1792,Silver
90425966,Male,12/23/1971,WY,942-259-7583,Silver
70459181,Female,9/3/1988,NY,493-937-8297,Platinum
91546921,Male,9/22/1974,LA,496-784-4836,Platinum
26489135,Male,10/5/1994,DE,654-456-1493,Platinum
76422302,Male,6/4/1989,GA,958-971-7983,Gold
27205554,Male,4/12/1976,RI,521-912-8139,Silver
60225946,Female,8/27/1977,OH,715-356-4572,Gold
34790013,Male,1/17/1979,NY,935-615-6297,Platinum
53333796,Male,5/23/1990,RI,857-215-9123,Gold
28307541,Male,12/14/1981,WY,763-156-1836,Gold
85536059,Female,4/26/1975,SD,145-285-4675,Platinum
54642094,Male,8/10/1995,NY,963-813-1973,Silver
47091036,Male,10/22/1986,SD,247-436-8713,Gold
48277275,Male,3/27/1996,WV,928-469-4368,Silver
75252854,Male,8/30/1995,NH,542-927-5413,Gold
31012778,Female,6/9/1993,MA,328-683-8359,Gold
84571128,Female,8/16/1995,ME,946-639-5932,Gold
38286862,Female,11/24/1994,NJ,791-831-2514,Gold
1163515,Female,2/3/1995,TX,978-352-7634,Silver
18361978,Female,7/10/1994,CA,463-645-2453,Platinum
94953428,Female,12/7/1977,DE,671-517-9548,Gold
42333031,Female,10/25/1970,WV,972-361-7416,Platinum
91786228,Female,12/26/1963,TN,826-243-9763,Gold
61051505,Male,2/5/1968,OH,649-461-2967,Platinum
8132649,Male,9/23/1975,SD,436-953-6352,Platinum
49428676,Female,9/27/1977,TX,587-946-2153,Silver
77436411,Female,5/6/1964,TN,679-324-1357,Platinum
44319192,Male,11/7/1968,NC,432-234-3617,Platinum
57510487,Male,1/24/1984,UT,512-657-2135,Gold
62797342,Male,5/1/1989,MA,348-186-6349,Gold
56923917,Female,8/10/1971,IL,451-134-7825,Silver
83088652,Male,10/5/1998,MD,968-236-9367,Platinum
53087364,Female,7/30/1990,AK,462-412-7423,Platinum
9089663,Male,9/9/1960,MT,763-973-2741,Silver
83290720,Male,12/6/1966,VA,185-825-6547,Gold
78364565,Female,8/7/1961,NM,862-483-5218,Silver
99761663,Female,11/18/1963,NC,643-246-4718,Silver
6298259,Female,5/30/1969,AZ,712-891-4759,Silver
51936868,Male,5/29/1988,OR,538-723-7261,Gold
35907845,Male,6/22/1972,IA,384-637-2368,Platinum
17390816,Female,9/3/1987,UT,269-384-1923,Gold
9908654,Male,2/18/1964,AL,179-894-5412,Platinum
47228798,Male,5/18/1974,HI,364-634-3715,Platinum
11593991,Female,12/22/1965,RI,642-812-6451,Silver
15036122,Male,3/30/1988,IA,893-237-4791,Silver
59046302,Male,1/15/1994,NY,854-356-9378,Silver
74058124,Male,11/12/1990,WV,172-685-2746,Silver
95221640,Male,7/13/1967,MD,712-754-5719,Silver
5956033,Female,7/7/1993,WY,984-397-3427,Silver
91462331,Male,5/2/1986,SD,163-429-1675,Platinum
7946799,Female,3/10/1976,MT,645-968-6519,Gold
83884401,Male,3/13/1992,ND,947-962-9473,Gold
36498462,Female,9/10/1987,WV,635-136-5671,Silver
88191021,Male,7/11/1986,HI,915-523-3148,Platinum
88567908,Female,9/26/1971,MN,817-685-2347,Gold
72896975,Male,2/26/1970,AL,813-784-4983,Gold
85650096,Male,1/29/1967,MO,954-368-9137,Gold
51349085,Male,6/6/1997,RI,258-762-9482,Silver
90202451,Male,7/4/1989,KY,413-642-7842,Platinum
55180831,Male,2/21/1962,MT,482-319-5783,Gold
14433043,Female,6/13/1971,UT,314-341-6783,Gold
56590042,Male,1/12/1967,AL,254-651-9452,Silver
43870673,Male,6/21/1985,KS,428-238-4918,Gold
84734050,Male,4/21/1960,VA,974-457-9312,Silver
73246256,Female,10/18/1984,IN,146-597-5429,Platinum
2632562,Female,12/14/1985,AK,498-597-9658,Platinum
74125758,Male,1/4/1961,LA,876-786-8624,Gold
92752865,Male,1/30/1986,AK,143-219-5498,Silver
47086007,Female,12/10/1997,NC,347-618-5821,Gold
33987747,Male,5/23/1973,MO,719-927-1936,Platinum
37312925,Male,1/12/1963,KS,274-346-6391,Gold
13233814,Female,6/1/1962,AR,583-753-8415,Platinum
32561536,Male,9/18/1982,MI,718-215-2831,Platinum
73456835,Female,12/31/1978,CO,376-294-4612,Silver
84767457,Female,11/14/1996,AZ,964-984-9257,Platinum
31901720,Male,11/29/1963,CA,574-674-6381,Silver
67885239,Female,9/17/1966,AL,682-368-5823,Platinum
94448966,Female,6/20/1984,MD,845-768-2513,Gold
94633091,Female,7/14/1990,RI,826-537-1348,Platinum
90116906,Male,9/14/1970,SD,645-465-4938,Platinum
82832313,Male,7/21/1980,NC,679-793-3672,Silver
87993949,Male,5/29/1969,NJ,754-586-4891,Platinum
61810954,Male,5/18/1969,TX,724-493-6179,Silver
55782839,Female,2/7/1998,ND,918-849-3279,Gold
39587790,Male,1/10/1965,LA,615-154-3516,Gold
14293434,Female,1/25/1995,IL,269-431-3781,Platinum
46620413,Male,12/11/1991,DE,164-158-7981,Platinum
53798973,Female,11/19/1980,TN,732-893-6125,Silver
15556454,Male,9/1/1996,OK,952-296-8234,Silver
61497833,Male,8/6/1995,WV,179-439-6237,Platinum
92889077,Female,3/8/1963,AR,975-548-7142,Gold
19171044,Female,2/6/1979,WI,281-597-6245,Platinum
93291407,Male,5/8/1970,FL,945-839-1768,Gold
96710523,Male,5/29/1980,WY,846-174-8946,Silver
52542420,Female,7/25/1970,CA,371-247-1395,Silver
37741743,Female,7/16/1982,ME,327-256-9257,Gold
48145469,Male,5/22/1973,IA,946-341-3157,Silver
25709472,Male,1/15/1993,KY,534-697-3498,Gold
58402401,Male,6/13/1979,KS,134-129-8167,Silver
23092790,Female,4/21/1982,NE,362-847-6954,Platinum
62476442,Female,6/27/1985,HI,528-237-8379,Silver
39943087,Female,11/11/1988,NY,473-567-7234,Platinum
41265642,Male,9/29/1989,IA,912-385-7549,Gold
73383008,Female,6/4/1986,AZ,594-592-6745,Gold
77896466,Female,2/16/1997,IL,613-614-1378,Gold
83526368,Female,3/16/1979,MA,468-698-7189,Platinum
31439710,Female,3/11/1988,GA,824-246-5734,Gold
30227653,Female,8/1/1981,CT,945-734-2691,Silver
86993944,Male,3/17/1982,WI,596-612-5431,Silver
65728108,Male,11/22/1984,SC,438-675-4587,Platinum
45539668,Male,4/8/1998,MS,613-276-2471,Silver
